state (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.7321395489828844	0.06126685822712124	0.010598081836412369	0.011212913892116153	0.0015947417488635259	0.057076987422251486	0.11765449047012004	0.0020407689918167738	0.0022170592808251305	0.004198549147588966
2	0.1980708147613838	0.7676624731473284	0.02657350378412485	0.003689390877631397	0.0	0.0	6.5020058280393635E-6	0.0	0.0	0.00399731542370349
3	0.029638234097354502	0.022363319126746727	0.8596996827296792	0.08589500256775263	0.0	0.0010335607228947128	0.001369255296846896	0.0	9.45458725351967E-7	0.0
4	0.03582123970188511	0.003900398152279369	0.09362619841316601	0.7296829427813647	0.06886054778857768	0.038457381011062455	0.01483620428771008	4.9564738826229504E-8	0.008692939931808369	0.006122098367407124
5	0.001492984528048475	0.0	0.0	0.02048328489159526	0.9487511234875128	0.01692092408393249	4.416634550677044E-7	0.0	0.0	0.012351241345455961
6	0.015903557604542776	4.883138333394553E-4	1.0853733942943596E-4	0.003372859876948668	0.004899086780415054	0.9534214731619992	0.015503863485676676	0.0016431021346399253	7.175515593348062E-4	0.003941654223674006
7	0.0039778573795522295	3.821023017466078E-8	1.5597602035406695E-5	1.7589267703690622E-4	5.891548636820117E-8	0.0018745337458311276	0.9824319568255087	0.008845771258755311	0.0022657716493247387	4.1252173623893977E-4
8	0.006917549723217985	0.0	0.0	1.0581884981701907E-7	0.0	0.021279884270097596	0.8384719832745329	0.11021747599847717	0.022339720522924884	7.732803918996445E-4
9	7.529249571455091E-4	0.0	2.915399874321514E-6	8.796632753761567E-4	0.0	7.249638111841529E-4	0.02076911845560457	0.0020555232150174683	0.9748148908857978	0.0
10	0.002524594447544247	0.0	0.0	8.189031338598222E-4	0.005819070617553732	0.006267352455572658	0.005770376650466434	9.58972440383927E-5	0.0	0.9787038054509648
